,LO,CO,T,CS,FS
333,0.4633333333333333,0.0,0.08333333333333334,0.3488372093023256,0.11363262621279395
528,0.4633333333333333,0.25,1.0,0.0,0.41914158855451406
160,0.0,0.75,0.75,0.11627906976744187,0.16260483473112974
220,0.0,1.0,0.25,0.0,0.8021049169544482
758,1.0,0.75,0.08333333333333334,0.0,0.9999999999999999
423,0.4633333333333333,0.5,1.0,0.058139534883720936,0.18868607136984045
26,0.0,0.0,0.25,0.23255813953488375,0.1306035191580332
649,1.0,0.0,0.25,0.813953488372093,0.032527544811708595
413,0.4633333333333333,0.0,0.7000000000000001,0.29069767441860467,0.10666008880118401
184,0.0,0.75,1.0,0.3488372093023256,0.08975497451077123
593,1.0,0.0,1.0,0.23255813953488375,0.07580989968755139
299,0.4633333333333333,0.0,0.5,0.058139534883720936,0.22423943430356846
99,0.0,0.5,0.5,0.3488372093023256,0.10915967768459135
694,1.0,0.5,0.5,0.813953488372093,0.05064956421641177
257,0.0,1.0,0.625,0.3488372093023256,0.1573754316724223
25,0.0,0.0,0.08333333333333334,0.23255813953488375,0.1385298470646275
411,0.4633333333333333,0.0,0.18333333333333335,0.8372093023255814,0.03400756454530504
240,0.0,1.0,0.25,0.11627906976744187,0.24374280545962834
346,0.4633333333333333,0.0,0.08333333333333334,0.4651162790697675,0.10432494655484294
733,1.0,1.0,0.25,0.5813953488372093,0.15753987830948857
488,0.4633333333333333,1.0,1.0,0.11627906976744187,0.2104259167900016
278,0.4633333333333333,0.0,0.75,0.0,0.4696267061338595
70,0.0,0.5,0.75,0.0,0.6601545798388423
696,1.0,0.75,0.0,0.029069767441860468,0.39530011511264596
218,0.0,1.0,0.0,0.0,0.7499753330044401
577,1.0,0.0,0.75,0.11627906976744187,0.14066765334648906
456,0.4633333333333333,0.75,1.0,0.058139534883720936,0.23548758427890149
183,0.0,0.75,0.8750000000000001,0.3488372093023256,0.10491695444828152
525,0.4633333333333333,0.25,0.25,0.0,0.699292879460615
709,1.0,0.75,0.25,0.4651162790697675,0.1331359973688538
662,1.0,0.0,0.25,0.930232558139535,0.011248149975333
712,1.0,0.75,0.0,0.6976744186046512,0.11544153922052293
704,1.0,0.75,0.0,0.23255813953488375,0.18302910705476072
445,0.4633333333333333,0.5,0.25,0.930232558139535,0.0332511100148002
633,1.0,0.0,0.0,0.6976744186046512,0.06604176944581482
37,0.0,0.0,0.08333333333333334,0.4651162790697675,0.1002466699555994
66,0.0,0.5,0.0,0.0,0.7499753330044401
639,1.0,0.0,0.5,0.6976744186046512,0.04699884887354054
226,0.0,1.0,0.0,0.029069767441860468,0.55885874033876
130,0.0,0.5,0.75,0.930232558139535,0.029337280052622927
429,0.4633333333333333,0.5,0.0,0.3488372093023256,0.13876007235652033
174,0.0,0.75,0.0,0.3488372093023256,0.15582963328399935
227,0.0,1.0,0.08333333333333334,0.029069767441860468,0.5372471632955106
273,0.0,1.0,1.0,0.5813953488372093,0.13159019898043084
149,0.0,0.75,0.5,0.058139534883720936,0.26775201447130403
212,0.0,0.75,0.4166666666666667,0.6976744186046512,0.0954777174806775
101,0.0,0.5,1.0,0.3488372093023256,0.08889985199802662
763,1.0,0.75,0.5,0.0,0.732774214767308
716,1.0,1.0,0.0,0.029069767441860468,0.4498963986186482
75,0.0,0.5,0.5,0.029069767441860468,0.32063476401907576
225,0.0,1.0,1.0,0.0,0.5471468508469002
294,0.4633333333333333,0.0,0.08333333333333334,0.058139534883720936,0.2521624732774214
147,0.0,0.75,0.08333333333333334,0.058139534883720936,0.29212300608452557
23,0.0,0.0,1.0,0.11627906976744187,0.13083374444992601
113,0.0,0.5,1.0,0.5813953488372093,0.0685084690018089
718,1.0,1.0,0.5,0.029069767441860468,0.35817464232856433
505,0.4633333333333333,0.5,0.0,0.0,0.5893438579181056
177,0.0,0.75,0.25,0.3488372093023256,0.13491202104916955
155,0.0,0.75,0.25,0.11627906976744187,0.18733760894589707
581,1.0,0.0,0.0,0.23255813953488375,0.1843446801512909
38,0.0,0.0,0.25,0.4651162790697675,0.09603683604670284
383,0.4633333333333333,0.0,1.0,0.6976744186046512,0.03535602696924847
702,1.0,0.75,0.5,0.058139534883720936,0.25392644630817296
684,1.0,0.5,0.0,0.23255813953488375,0.16290083867784905
170,0.0,0.75,0.625,0.23255813953488375,0.13451734912021046
397,0.4633333333333333,0.0,0.0,0.930232558139535,0.025982568656470972
428,0.4633333333333333,0.5,1.0,0.23255813953488375,0.08837362275941459
448,0.4633333333333333,0.5,1.0,0.930232558139535,0.021443841473441874
219,0.0,1.0,0.08333333333333334,0.0,0.8082881105081402
248,0.0,1.0,0.5,0.23255813953488375,0.1748396645288604
674,1.0,0.0,0.1,0.5465116279069767,0.11080414405525409
138,0.0,0.75,0.8750000000000001,0.0,0.641243216576221
58,0.0,0.0,0.75,0.813953488372093,0.02456832757770104
484,0.4633333333333333,1.0,1.0,0.058139534883720936,0.27041604999177765
2,0.0,0.0,0.25,0.0,0.8021049169544482
208,0.0,0.75,0.08333333333333334,0.6976744186046512,0.10751521131392865
250,0.0,1.0,0.75,0.23255813953488375,0.16641999671106728
87,0.0,0.5,0.5,0.11627906976744187,0.16240749876665023
400,0.4633333333333333,0.0,0.25,0.930232558139535,0.009669462259496789
634,1.0,0.0,0.08333333333333334,0.6976744186046512,0.05834566683111331
421,0.4633333333333333,0.5,0.5,0.058139534883720936,0.23930274625883896
199,0.0,0.75,0.25,0.5813953488372093,0.11445485939812532
106,0.0,0.5,0.75,0.4651162790697675,0.07597434632461765
29,0.0,0.0,1.0,0.23255813953488375,0.09896398618648249
480,0.4633333333333333,1.0,1.0,0.029069767441860468,0.3542673902318697
741,1.0,1.0,0.25,0.4651162790697675,0.19792797237296494
17,0.0,0.0,1.0,0.058139534883720936,0.19417858904785396
521,0.4633333333333333,1.0,0.75,0.0,0.4696267061338595
700,1.0,0.75,0.0,0.058139534883720936,0.31096859069232036
357,0.4633333333333333,0.0,1.0,0.4651162790697675,0.06452886038480514
63,0.0,0.0,0.5,0.930232558139535,0.00858411445485939
281,0.4633333333333333,0.0,0.08333333333333334,0.029069767441860468,0.362900838677849
753,1.0,0.5,0.75,0.0,0.5978621937181384
124,0.0,0.5,0.75,0.813953488372093,0.03956586087814504
721,1.0,1.0,0.25,0.058139534883720936,0.37283341555665184
20,0.0,0.0,0.25,0.11627906976744187,0.16549909554349612
187,0.0,0.75,0.16666666666666669,0.4651162790697675,0.1189935865811544
207,0.0,0.75,0.0,0.6976744186046512,0.11636244038809405
468,0.4633333333333333,0.75,1.0,0.3488372093023256,0.10064134188455846
545,1.0,0.0,0.25,0.029069767441860468,0.33486268705804967
393,0.4633333333333333,0.0,0.75,0.813953488372093,0.022068738694293696
587,1.0,0.0,0.5,0.23255813953488375,0.12047360631475086
269,0.0,1.0,0.25,0.5813953488372093,0.16115770432494653
104,0.0,0.5,0.25,0.4651162790697675,0.10754810064134189
296,0.4633333333333333,0.0,0.25,0.058139534883720936,0.24107876993915472
594,1.0,0.0,0.0,0.3488372093023256,0.12553856273639202
361,0.4633333333333333,0.0,0.25,0.5813953488372093,0.07765170202269363
691,1.0,0.5,1.0,0.4651162790697675,0.06594310146357507
451,0.4633333333333333,0.75,0.5,0.029069767441860468,0.37086005591185656
464,0.4633333333333333,0.75,1.0,0.23255813953488375,0.11757934550238446
36,0.0,0.0,0.0,0.4651162790697675,0.10409472126295015
595,1.0,0.0,0.08333333333333334,0.3488372093023256,0.11465219536260483
318,0.4633333333333333,0.0,1.0,0.11627906976744187,0.1248478868607137
19,0.0,0.0,0.08333333333333334,0.11627906976744187,0.1689524749218878
345,0.4633333333333333,0.0,0.0,0.4651162790697675,0.11646110837033384
652,1.0,0.0,0.5,0.813953488372093,0.026969248478868613
558,1.0,0.0,0.25,0.058139534883720936,0.2543134352902483
112,0.0,0.5,0.75,0.5813953488372093,0.07179740174313434
418,0.4633333333333333,0.5,1.0,0.029069767441860468,0.28765005755632295
120,0.0,0.5,0.0,0.813953488372093,0.06186482486433152
305,0.4633333333333333,0.0,1.0,0.058139534883720936,0.18082552211807268
454,0.4633333333333333,0.75,0.25,0.058139534883720936,0.297352409143233
85,0.0,0.5,0.08333333333333334,0.11627906976744187,0.1844104588061174
275,0.4633333333333333,0.0,0.08333333333333334,0.0,0.740404538727183
132,0.0,0.75,0.0,0.0,0.7499753330044401
202,0.0,0.75,0.5,0.5813953488372093,0.10478539713862851
682,1.0,0.5,0.5,0.058139534883720936,0.23657293208353886
189,0.0,0.75,0.33333333333333337,0.4651162790697675,0.11754645617497121
198,0.0,0.75,0.16666666666666669,0.5813953488372093,0.11514553527380363
247,0.0,1.0,0.25,0.23255813953488375,0.18908074329879954
5,0.0,0.0,1.0,0.0,0.5471468508469002
148,0.0,0.75,0.25,0.058139534883720936,0.27985528695938167
675,1.0,0.0,0.30000000000000004,0.6744186046511628,0.05601052458477224
178,0.0,0.75,0.33333333333333337,0.3488372093023256,0.12905772076961025
145,0.0,0.75,1.0,0.029069767441860468,0.2897516855780299
204,0.0,0.75,0.75,0.5813953488372093,0.0986022035849367
3,0.0,0.0,0.5,0.0,0.7672751192238119
692,1.0,0.5,0.0,0.813953488372093,0.06045058378556159
478,0.4633333333333333,1.0,0.25,0.029069767441860468,0.41298799539549413
358,0.4633333333333333,0.0,0.0,0.5813953488372093,0.09389902976484131
21,0.0,0.0,0.5,0.11627906976744187,0.15309981910869924
398,0.4633333333333333,0.0,0.08333333333333334,0.930232558139535,0.016510442361453707
432,0.4633333333333333,0.5,0.75,0.3488372093023256,0.09676040124979444
623,1.0,0.0,0.25,0.5813953488372093,0.07087650057556323
127,0.0,0.5,0.08333333333333334,0.930232558139535,0.036178260154579825
49,0.0,0.0,0.08333333333333334,0.6976744186046512,0.058543002795592824
508,0.4633333333333333,0.5,0.5,0.0,0.6625883900674231
642,1.0,0.0,0.75,0.6976744186046512,0.052622923861207024
354,0.4633333333333333,0.0,0.75,0.4651162790697675,0.07771748067752014
390,0.4633333333333333,0.0,0.5,0.813953488372093,0.028087485610919255
773,1.0,1.0,0.25,0.0,0.8869264923532313
747,1.0,0.5,0.25,0.0,0.8869264923532313
309,0.4633333333333333,0.0,0.25,0.11627906976744187,0.166518664693307
251,0.0,1.0,0.8750000000000001,0.23255813953488375,0.1580332182206874
438,0.4633333333333333,0.5,1.0,0.4651162790697675,0.0763690182535767
459,0.4633333333333333,0.75,0.5,0.11627906976744187,0.18963986186482484
646,1.0,0.0,0.0,0.813953488372093,0.04459792797237297
42,0.0,0.0,0.0,0.5813953488372093,0.08347311297483966
117,0.0,0.5,0.5,0.6976744186046512,0.06538398289754975
270,0.0,1.0,0.5,0.5813953488372093,0.15740832099983554
374,0.4633333333333333,0.0,0.25,0.6976744186046512,0.05617497122183851
564,1.0,0.0,0.75,0.058139534883720936,0.21199473770761385
0,0.0,0.0,0.0,0.0,0.7499753330044401
335,0.4633333333333333,0.0,0.25,0.3488372093023256,0.110409472126295
