,CO,T,CS,FS,FT
250,0.4,0.25,0.75,0.08429118773946356,33.75
253,0.4,0.5,0.75,0.07931849677997879,32.53
256,0.4,0.75,0.75,0.06089508437270725,28.01
259,0.4,1.0,0.75,0.060446726991114356,27.9
260,0.4,0.0,0.875,0.07495720224993885,31.46
261,0.4,0.08333333333333334,0.875,0.074264286296568,31.29
263,0.4,0.25,0.875,0.06468574223526533,28.94
266,0.4,0.5,0.875,0.05351756745740604,26.2
269,0.4,0.75,0.875,0.04732208363903153,24.68
272,0.4,1.0,0.875,0.03774353957772885,22.33
273,0.4,0.0,1.0,0.050297546262329816,25.41
274,0.4,0.08333333333333334,1.0,0.04312382815684355,23.65
276,0.4,0.25,1.0,0.04536561506480801,24.2
279,0.4,0.5,1.0,0.034727317192467584,21.59
282,0.4,0.75,1.0,0.03464579766854161,21.57
285,0.4,1.0,1.0,0.02669764408575854,19.62
286,0.6000000000000001,0.0,0.03125,0.44671476318578296,122.6668258
287,0.6000000000000001,0.08333333333333334,0.03125,0.44264286296568023,121.6683176
288,0.6000000000000001,0.16666666666666669,0.03125,0.43584413467025346,120.0
289,0.6000000000000001,0.25,0.03125,0.431584739545121,118.9545934
290,0.6000000000000001,0.33333333333333337,0.03125,0.4195402298850574,116.0
291,0.6000000000000001,0.4166666666666667,0.03125,0.4113882774924594,114.0
292,0.6000000000000001,0.5,0.03125,0.4068802478193527,112.893716
293,0.6000000000000001,0.5833333333333334,0.03125,0.39916034890356233,111.0
294,0.6000000000000001,0.6666666666666667,0.03125,0.3910083965109643,109.0
295,0.6000000000000001,0.75,0.03125,0.3828564441183663,107.0
296,0.6000000000000001,0.8333333333333334,0.03125,0.37470449172576825,105.0
297,0.6000000000000001,0.9166666666666667,0.03125,0.3665525393331702,103.0
298,0.6000000000000001,1.0,0.03125,0.3573775169153012,100.74865
299,0.6000000000000001,0.0,0.0625,0.37123991195891415,104.1461407
300,0.6000000000000001,0.08333333333333334,0.0625,0.36031629575283275,101.4671762
301,0.6000000000000001,0.16666666666666669,0.0625,0.3543246107442732,100.0
302,0.6000000000000001,0.25,0.0625,0.3451129045406374,97.74225492
303,0.6000000000000001,0.33333333333333337,0.0625,0.3396510964375968,96.4
304,0.6000000000000001,0.4166666666666667,0.0625,0.33190674166462864,94.5
305,0.6000000000000001,0.5,0.0625,0.33011331213825706,94.0597773
306,0.6000000000000001,0.5833333333333334,0.0625,0.3164180321186924,90.7
308,0.6000000000000001,0.75,0.0625,0.3010108420966821,86.91983404
309,0.6000000000000001,0.8333333333333334,0.0625,0.2935925654194179,85.1
310,0.6000000000000001,0.9166666666666667,0.0625,0.28584821064644983,83.2
311,0.6000000000000001,1.0,0.0625,0.2761734411021439,80.82639204
312,0.6000000000000001,0.0,0.125,0.2708486182440694,79.52
313,0.6000000000000001,0.08333333333333334,0.125,0.23852612700741824,71.59
314,0.6000000000000001,0.16666666666666669,0.125,0.23571370343197193,70.9
315,0.6000000000000001,0.25,0.125,0.2304556941387462,69.61
316,0.6000000000000001,0.33333333333333337,0.125,0.21839080459770113,66.65
317,0.6000000000000001,0.4166666666666667,0.125,0.21879840221733102,66.75
318,0.6000000000000001,0.5,0.125,0.2163528164995516,66.15
321,0.6000000000000001,0.75,0.125,0.19980435314257763,62.09
